Name,Description,Time,Posting-Time
C++ Graphics and Windowing System Software Engineer,"Design and implement features across the Mir stack. Assist in debugging, tracking down and fixing issues. Improve tests and performance benchmarks to catch issues early. Create documentation to enhance the developer experience.",Full-Time,30+ days ago
"Software Engineer, Backend","You'll be expected to ship major features end to end across our JavaScript and Clojure codebase, as well as deal with some of our trickier backend issues as they arise. Some familiarity with machine learning, compiler theory and modern big data...",Full-Time,30+ days ago
Senior Software Engineer - App Stores Backend,"Collaborate remotely with a globally distributed team. Write clean web service APIs to support both CLI and web frontend clients, using Python (and optionally Golang). Bachelor's degree and proficiency developing public-facing APIs and web applications.",Full-Time,30+ days ago
Senior Software Engineer - Python - Django,"Develop efficient and scalable software components for a flagship product using Python, Django, and GraphQL. Collaborate on product design, participate in sprint planning, and provide thought leadership on emerging technologies.",Full-Time,30+ days ago
"Software Engineer, Go","Contribute to the design, delivery, and support of features in a highly concurrent, highly distributed system. Collaborate proactively with a distributed team, debug issues, and interact with upstream communities publicly.",Full-Time,30+ days ago
Juju Software Engineer,"Contribute to the development of a large open-source Go project that powers complex distributed software systems worldwide. Collaborate with a distributed team, debug issues, and interact with upstream communities. Travel globally for internal and ext..",Full-Time,30+ days ago
Software Engineer - Solutions Engineering,"Design and deliver open source software operations code in Python and Golang. Work with the entire Linux stack, shape high-quality open source monitoring and alerting infrastructure, and rethink open source operations for customers and the open sourc..",Full-Time,30+ days ago
Software-Defined Networking Engineer,"Collaborate with public clouds and network silicon providers. Design and implement the best software-defined networking experience for the latest hardware platforms and software stacks. Write high-quality, well-designed and well-documented software.",Full-Time,30+ days ago
Senior Software Engineer - Infrastructure,"Collaborate with Product Management and Development team members on technical design and problem solving to come up with compelling solutions to complex problems. Optimize and improve existing infrastructure, architecture, and processes to take...",Full-Time,30+ days ago
Staff Software Engineer - Developer Productivity,"Lead engineering projects, unify CI/CD infrastructure, build standard abstractions for service operation, and create tools that facilitate best practices, enhancing overall productivity for engineering teams.",Full-Time,4 days ago
"Principal Software Engineer / Product Owner (worldwide remote, work anywhere)","Lead the development of an AI-Based Code Reviewer framework, customize solutions for projects, prototype to validate concepts, and collaborate with R&D teams to ensure high-quality delivery and stakeholder communication.",Full-Time,8 days ago
Staff Software Security Engineer,Review and deploy security features developed by the Foundation and community members. Work with other development teams to ensure that they make safe architectural and implementation choices.,Full-Time,30+ days ago
"System Software Engineer - Rust compiler, tooling, and ecosystem","Select, integrate and package tooling to improve developer and operator experience. Write high-quality code to create new features. Debug issues and produce high-quality code to fix them. Review code produced by other engineers. Discuss ideas...",Full-Time,30+ days ago
System Software Engineer,"Collaborate with a distributed team to integrate and package tooling with Ubuntu for Rust developers. Write high-quality code, debug issues, review code, and discuss ideas to improve Ubuntu's performance and experience.",Full-Time,30+ days ago
Software Engineer - Observability,"Write, test, and document high-quality code to create new features. Debug issues and interact with a vibrant community. Review code produced by other engineers. Attend conferences to represent the company and the Charmed Observability Stack.",Full-Time,30+ days ago
Senior Rust Cloud Software Engineer,We seek a Senior Rust engineer with a startup mentality to construct the next generation of real-time cloud data infrastructure. You will collaborate with a team of talented engineers across global locations to design and operate the highest reliable...,Full-Time,30+ days ago
Software Engineer - Cloud Operations,"Develop inter-cloud connectivity solutions for enterprise customers, build a control plane for managing instances, expose infrastructure as API, debug and patch non-trivial problems, advocate for operational excellence.",Full-Time,30+ days ago
Staff Software Security Engineer - PHP,"Design and build MediaWiki security capabilities, mentor and lead a security development team, review and deploy security features, work with other development teams to ensure safe architectural and implementation choices.",Full-Time,30+ days ago
Embedded Linux Software Engineer,"Design and develop low-level system technology and embedded systems. Collaborate with global teams, contribute high-quality code, and provide technical leadership. Work with the latest Linux kernel, open source technologies, and IoT platforms.",Full-Time,30+ days ago
Embedded Software Engineer,"Develop and optimize Ubuntu software for embedded systems, including kernel drivers, hardware enablement, and hardware certification. Collaborate with global teams, contribute to open source community, and provide technical leadership. Contribute to...",Full-Time,30+ days ago
"Python and Kubernetes Software Engineer - Data, AI/ML and Analytics","Develop your understanding of the entire Linux stack, from kernel, networking, and storage, to the application layer. Design, build and maintain solutions that will be deployed on public and private clouds and local workstations",Full-Time,30+ days ago
Senior Software Engineer - Platform,"Design and implement scalable backend services, influence system architecture, maintain software quality, and troubleshoot incidents while collaborating with teams to overcome technical challenges in a fast-paced environment.",Full-Time,7 days ago
Senior Software Engineer - Identity,"Design and implement scalable backend services for a global identity verification platform. Contribute to architectural decisions, maintain software quality, and proactively address technical challenges while collaborating across teams to enhance...",Full-Time,7 days ago
"Cryptographic Software Engineer, C/C++","Support the FIPS 140-3 certification for cryptographic modules, assist in building and testing RPM packages, and collaborate on technical documentation while applying cryptographic concepts in a security engineering team.",Full-Time,30+ days ago
"Senior Software Engineer - Python, MongoDB","Design, build, and manage a fully managed MongoDB solution based on Juju. Contribute to the development of a reliable and secure way to deploy and operate MongoDB on various platforms. Work with a small team and have a significant impact on the...",Full-Time,30+ days ago
Senior Software Security Engineer,Review and deploy security features developed by the Foundation and community members. Work with other development teams to ensure that they make safe architectural and implementation choices.,Full-Time,30+ days ago
Senior Software Engineer - Ledger,"Design and implement scalable backend systems while collaborating with cross-functional teams to deliver high-impact projects. Ensure integrity and maintainability of code, contributing to system health and performance.",Full-Time,7 days ago
"System Software Engineer - GCC, LLVM Compiler, Tooling, and Ecosystem","Collaborate with a distributed team to select, integrate, and package tooling for Ubuntu. Write high-quality code, debug issues, review code, and discuss ideas. Work from home with occasional global travel.",Full-Time,2 weeks ago
"Golang Software Engineer, Developer Tooling and Containers","Design user experience for new capabilities in a developer tool, write high-quality code to create features, ensure correctness and robustness, collaborate with teams both inside and outside the company.",Full-Time,30+ days ago
Senior Software Engineer,"Resolve complex customer issues related to Kernel, Ceph, OpenStack, or Kubernetes. Work closely with company's teams, participate in upstream communities, develop fixes, and collaborate with upstream for inclusion.",Full-Time,30+ days ago
Security Software Engineer,"Responsibilities: Define and implement security features, fix vulnerabilities, contribute to open source projects, and monitor the security industry. Seeking candidates with strong understanding of security vulnerabilities and experience in security...",Full-Time,30+ days ago
Principal Software Engineer,"Lead technical implementation of product, provide mentorship, collaborate with product team to define and prioritize feature development, oversee integrations with educational platforms, foster a positive team environment.",Full-Time,30+ days ago
Software Engineer - PHP,"Organize full lifecycle software development, write well-designed, testable code, integrate software components into a fully functional system, and ensure compliance with project plans and industry standards.",Full-Time,30+ days ago
Software Engineer - Data Infrastructure,Collaborate with an internationally distributed team to write high-quality Python code for data platform features. Debug issues and interact with upstream communities. Work with talented engineers and travel for internal and external events.,Full-Time,30+ days ago
Software Engineer - Data Infrastructure - Kafka,"Develop and automate infrastructure features for a global data platform. Collaborate with a distributed team, write high-quality Python code, debug issues, and work with talented engineers.Discuss ideas and collaborate on finding good solutions. Work...",Full-Time,30+ days ago
Software Engineer - Data Infrastructure - Kafka,"Write high-quality, idiomatic Python code to create new features. Debug issues and interact with upstream communities publicly. Work with helpful and talented engineers including experts in many fields. Discuss ideas and collaborate on finding good...",Full-Time,30+ days ago
